age_group,department,years_experience,open_feedback,satisfaction_rating
60+,Marketing,,Great work environment and supportive team.,5
46-60,Sales,18.0,Workload is manageable most weeks.,3
46-60,Sales,11.0,Very satisfied with growth opportunities.,4
60+,HR,2.0,Very satisfied with growth opportunities.,5
36-45,Sales,6.0,Needs better communication between departments.,4
46-60,Sales,13.0,Great work environment and supportive team.,5
60+,HR,,Management could improve feedback frequency.,5
26-35,Support,12.0,Great work environment and supportive team.,4
18-25,HR,,Needs better communication between departments.,3
26-35,Support,,Workload is manageable most weeks.,2
26-35,Support,17.0,Very satisfied with growth opportunities.,2
60+,Support,9.0,Great work environment and supportive team.,1
60+,Marketing,16.0,Would like more remote work flexibility.,4
18-25,HR,14.0,Would like more remote work flexibility.,4
36-45,HR,2.0,Great work environment and supportive team.,4
60+,Engineering,1.0,Very satisfied with growth opportunities.,2
18-25,HR,16.0,Very satisfied with growth opportunities.,3
46-60,Engineering,9.0,Workload is manageable most weeks.,5
18-25,Engineering,14.0,Very satisfied with growth opportunities.,4
36-45,Support,8.0,Would like more remote work flexibility.,1
60+,Sales,5.0,Very satisfied with growth opportunities.,3
26-35,Sales,3.0,Very satisfied with growth opportunities.,5
26-35,Sales,9.0,Would like more remote work flexibility.,4
26-35,Support,20.0,Needs better communication between departments.,5
46-60,Marketing,,Great work environment and supportive team.,4
26-35,Support,9.0,Would like more remote work flexibility.,1
60+,Engineering,14.0,Needs better communication between departments.,2
36-45,Marketing,,Management could improve feedback frequency.,5
36-45,Engineering,9.0,Very satisfied with growth opportunities.,4
36-45,HR,14.0,Needs better communication between departments.,5
36-45,Sales,,Would like more remote work flexibility.,5
36-45,Marketing,15.0,Great work environment and supportive team.,3
36-45,Support,11.0,Needs better communication between departments.,4
60+,Marketing,15.0,Workload is manageable most weeks.,3
60+,Sales,13.0,Very satisfied with growth opportunities.,5
46-60,HR,16.0,Very satisfied with growth opportunities.,5
46-60,Engineering,23.0,Would like more remote work flexibility.,5
46-60,Support,3.0,Would like more remote work flexibility.,5
26-35,Support,14.0,Would like more remote work flexibility.,4
60+,Sales,11.0,Great work environment and supportive team.,2
36-45,HR,8.0,Workload is manageable most weeks.,3
26-35,Support,5.0,Very satisfied with growth opportunities.,3
60+,Support,1.0,Workload is manageable most weeks.,1
18-25,Marketing,10.0,Needs better communication between departments.,4
60+,Marketing,20.0,Needs better communication between departments.,4
